outer_source,source_url,external_id,title,description,type,listing_type,price,price_type,price_rate,owner_name,owner_photo,owner_contact,address,location,neighborhood,city,state,zip_code,lat,lng,bedrooms,bathrooms,area,furnished,features,main_image,images,scraped_at
rentahouse,https://rentahouse.com.ve/apartamento_en_venta_en_turmero_en_narayola-ii_rah-27-2690.html,VE 27-2690,"Apartamento (1 Nivel) en Venta en Narayola II, AraguaSíguenosContactenosRecursos","Si estas buscando un apartamento remodelado y listo para habitar, esta es tu mejor opcion en el conjunto residencial narayola II, consta de 65mts2 y cuenta con iluminada sala comedor, cocina empotrada, 02 habitaciones con closets y 02 baños, posee 01 puesto de estacionamiento. El conjunto cuenta con pozo de agua, gas directo, vigilancia, parque infantil y cancha deportiva. 
invierte con Rentahouse",Apartamento,Venta,48000,monthly,paralelo,Angel Gallardo,,,,"Narayola II, Aragua",Narayola II,Turmero,Aragua,,10.221889,-67.4888782,2,2,652,0,"[""Vigilancia Privada"",""Pozo"",""#Ascensores""]",https://cdn.resize.sparkplatform.com/ven/1024x768/true/20260816134623760264000000-o.jpg,"[""https://cdn.photos.sparkplatform.com/ven/20260816134623760264000000.jpg"",""https://cdn.photos.sparkplatform.com/ven/20260816134623760264000000-t.jpg"",""https://cdn.photos.sparkplatform.com/ven/20260816134623760264000000.jpg"",""https://cdn.resize.sparkplatform.com/ven/640x480/true/20260816134623760264000000-o.jpg"",""https://cdn.resize.sparkplatform.com/ven/800x600/true/20260816134623760264000000-o.jpg"",""https://cdn.resize.sparkplatform.com/ven/1024x768/true/20260816134623760264000000-o.jpg""]",2026-08-16T15:38:01.650Z
rentahouse,https://rentahouse.com.ve/apartamento_en_alquiler_en_caracas_en_el-rosal_rah-27-2689.html,VE 27-2689,"Apartamento (1 Nivel) en Alquiler en El Rosal, Distrito MetropolitanoSíguenosContactenosRecursos","Elegante y moderno apartamento de 50 m² ubicado en el corazón financiero de Caracas, situado en una calle muy tranquila y segura. Inmueble totalmente equipado y amoblado con acabados de primera calidad, listo para habitar.
                    	                    	   Distribución y atributos:
Área social de concepto abierto con excelente iluminación natural.
Cocina completa integrada con equipamiento moderno.
1 habitación confortable.
1 baño completo con práctico acceso doble (desde la sala y desde la habitación).
Totalmente amoblado y decorado.
1 puesto de estacionamiento.
Maletero privado.
Edificio y servicios:
Pozo de agua que garantiza suministro continuo.
Calentador Termotronic
Vigilancia privada y control de acceso 24/7.
2 ascensores operativos por piso.
Edificio en impecable estado de conservación en calle tranquila.",Apartamento,Alquiler,1000,monthly,paralelo,Gerardo Palmisano,,,,"El Rosal, Distrito Metropolitano",El Rosal,Caracas,Distrito Metropolitano,,10.4930037,-66.8564488,1,1,502,1,"[""Altura Del Inmueble"",""Tiene Cocina?"",""Vigilancia Privada"",""Maletero"",""Pozo"",""Cocina"",""Refrigerador"",""Aire Acondicionado"",""Calentador De Agua"",""#Ascensores""]",https://cdn.resize.sparkplatform.com/ven/1024x768/true/20260810235551361983000000-o.jpg,"[""https://cdn.photos.sparkplatform.com/ven/20260810235551361983000000.jpg"",""https://cdn.photos.sparkplatform.com/ven/20260810235551361983000000-t.jpg"",""https://cdn.photos.sparkplatform.com/ven/20260810235551361983000000.jpg"",""https://cdn.resize.sparkplatform.com/ven/640x480/true/20260810235551361983000000-o.jpg"",""https://cdn.resize.sparkplatform.com/ven/800x600/true/20260810235551361983000000-o.jpg"",""https://cdn.resize.sparkplatform.com/ven/1024x768/true/20260810235551361983000000-o.jpg""]",2026-08-16T15:38:01.664Z
rentahouse,https://rentahouse.com.ve/apartamento_en_alquiler_en_margarita_en_playa-moreno_rah-27-2688.html,VE 27-2688,"Apartamento (1 Nivel) en Alquiler en Playa Moreno, Nueva EspartaSíguenosContactenosRecursos","Excelente oprtunidad de alquiler fijo en una de las zonas mas cotizadas de la isla. Ubicacion privilegiada en la Av. Aldonza Manrique, diagonal al DOWNTOWN  rodeado de la principal zona gastronomica, comercial y turistica de pampatar
90 m2, 2 habitaciones, 2 baños, vista al mar en segunda linea de playa, full equipado y amoblado, A/A central, tanque de agua. 1 puesto de estacionamiento techado",Apartamento,Alquiler,600,monthly,paralelo,Marisela Arocha,,,,"Playa Moreno, Nueva Esparta",Playa Moreno,Margarita,Nueva Esparta,,11.0014511,-63.7946482,2,2,902,1,"[""Altura Del Inmueble"",""Tiene Cocina?"",""Comedor De Cocina"",""Parque Infantil"",""Piscina"",""Vigilancia Privada"",""Vista Al Mar"",""Cocina"",""Horno Microndas"",""Refrigerador"",""Lavadora"",""Secadora"",""Aire Acondicionado"",""Calentador De Agua"",""#Ascensores""]",https://cdn.resize.sparkplatform.com/ven/1024x768/true/20260816005527483436000000-o.jpg,"[""https://cdn.photos.sparkplatform.com/ven/20260816005527483436000000.jpg"",""https://cdn.photos.sparkplatform.com/ven/20260816005527483436000000-t.jpg"",""https://cdn.photos.sparkplatform.com/ven/20260816005527483436000000.jpg"",""https://cdn.resize.sparkplatform.com/ven/640x480/true/20260816005527483436000000-o.jpg"",""https://cdn.resize.sparkplatform.com/ven/800x600/true/20260816005527483436000000-o.jpg"",""https://cdn.resize.sparkplatform.com/ven/1024x768/true/20260816005527483436000000-o.jpg""]",2026-08-16T15:38:01.671Z
rentahouse,https://rentahouse.com.ve/casa_en_alquiler_en_barquisimeto_en_fundacion-mendoza_rah-27-2687.html,VE 27-2687,"Casa (1 Nivel) en Alquiler en Fundacion Mendoza, LaraSíguenosContactenosRecursos","Excelente casa en Alquiler de maravillosa ubicación al este de Barquisimeto, cuenta 3 habitaciones, 3 baños, cocina, comedor, sala de estar, 1 puesto de estacionamiento y una amplia área de terraza, cuenta con gas directo por tubería, agua constante con tanque subterráneo. Por su maravillosa ubicación fácil acceso a principales avenidas y comercios, contacte a su asesor de Rent A House",Casa,Alquiler,380,monthly,paralelo,Gabriela Colmenares Daal,,,,"Fundacion Mendoza, Lara",Fundacion Mendoza,Barquisimeto,Lara,,10.0851472,-69.2911151,3,3,1152,0,[],https://cdn.resize.sparkplatform.com/ven/1024x768/true/20260816014204348030000000-o.jpg,"[""https://cdn.photos.sparkplatform.com/ven/20260816014204348030000000.jpg"",""https://cdn.photos.sparkplatform.com/ven/20260816014204348030000000-t.jpg"",""https://cdn.photos.sparkplatform.com/ven/20260816014204348030000000.jpg"",""https://cdn.resize.sparkplatform.com/ven/640x480/true/20260816014204348030000000-o.jpg"",""https://cdn.resize.sparkplatform.com/ven/800x600/true/20260816014204348030000000-o.jpg"",""https://cdn.resize.sparkplatform.com/ven/1024x768/true/20260816014204348030000000-o.jpg""]",2026-08-16T15:38:01.678Z
rentahouse,https://rentahouse.com.ve/apartamento_en_alquiler_en_caracas_en_parroquia-la-candelaria_rah-27-2686.html,VE 27-2686,"Apartamento (1 Nivel) en Alquiler en Parroquia La Candelaria, Distrito MetropolitanoSíguenosContactenosRecursos","Oportunidad muy centrica en edificio con etiqueta verde en piso bajo son 48 mts2 tiene dos habitaciones pequenas ,  iluminado sin ruido a la avenida, cocina concepto abierto  agua constante y gas directo, a pocos pasos de la Plaza La Candelaria, agende una visita",Apartamento,Alquiler,600,monthly,paralelo,Lenin Cabello,,,,"Parroquia La Candelaria, Distrito Metropolitano",Parroquia La Candelaria,Caracas,Distrito Metropolitano,,10.5113657,-66.9004651,2,1,482,0,"[""Altura Del Inmueble"",""Tiene Cocina?"",""Vigilancia Privada"",""Cocina"",""Horno De Pared (Electrico)"",""Horno Microndas"",""#Ascensores""]",https://cdn.resize.sparkplatform.com/ven/1024x768/true/20260816012023329875000000-o.jpg,"[""https://cdn.photos.sparkplatform.com/ven/20260816012022019619000000.jpg"",""https://cdn.photos.sparkplatform.com/ven/20260816012022019619000000-t.jpg"",""https://cdn.photos.sparkplatform.com/ven/20260816012022019619000000.jpg"",""https://cdn.resize.sparkplatform.com/ven/640x480/true/20260816012022019619000000-o.jpg"",""https://cdn.resize.sparkplatform.com/ven/800x600/true/20260816012022019619000000-o.jpg"",""https://cdn.resize.sparkplatform.com/ven/1024x768/true/20260816012022019619000000-o.jpg""]",2026-08-16T15:38:01.684Z
rentahouse,https://rentahouse.com.ve/casa_en_venta_en_municipio-san-diego_en_valle-de-oro_rah-27-2685.html,VE 27-2685,"Casa (1 Nivel) en Venta en Valle de Oro, CaraboboSíguenosContactenosRecursos","Hermosa casa de esquina totalmente operativa ,piso de porcelanato,todas sus habitaciones son amplias y con hermosos closet. La distribucion es de 4 habitaciones ,dos de ellas con baños integrados .
3  1/2 baños 
cocina empotrada totalmente equipada,3 aires acondicionados tipo split .
areas comunes se mantienen impecables ,piscina,parrillera,salon de fiesta ,todo en orden operativo y con normativas",Casa,Venta,140000,monthly,paralelo,Suhail Almerida,,,,"Valle de Oro, Carabobo",Valle de Oro,Municipio San Diego,Carabobo,,10.1763654,-67.9994696,4,4,1902,0,"[""Pozo""]",https://cdn.resize.sparkplatform.com/ven/1024x768/true/20260815224657759265000000-o.jpg,"[""https://cdn.photos.sparkplatform.com/ven/20260815224657759265000000.jpg"",""https://cdn.photos.sparkplatform.com/ven/20260815224657759265000000-t.jpg"",""https://cdn.photos.sparkplatform.com/ven/20260815224657759265000000.jpg"",""https://cdn.resize.sparkplatform.com/ven/640x480/true/20260815224657759265000000-o.jpg"",""https://cdn.resize.sparkplatform.com/ven/800x600/true/20260815224657759265000000-o.jpg"",""https://cdn.resize.sparkplatform.com/ven/1024x768/true/20260815224657759265000000-o.jpg""]",2026-08-16T15:38:01.690Z
rentahouse,https://rentahouse.com.ve/apartamento_en_alquiler_en_caracas_en_los-naranjos-del-cafetal_rah-27-2684.html,VE 27-2684,"Apartamento (1 Nivel) en Alquiler en Los Naranjos del Cafetal, Distrito MetropolitanoSíguenosContactenosRecursos","OPORTUNIDAD de vivir en una Apto. Remodelado en Alquiler como en un Club y VISTA 360. PLANTA ELECTRICA Y POZO DE AGUA. Consta de 4 Habitaciones cada una de ellas con vestier y ba&#65533;o privado mas Hab de Servicio con su ba&#65533;o. Amplia Sala-Comedor con Terraza y hermosa vista al Avila.  Posee un Family -Estudio y ba&#65533;o de visitas. El edificio esta en calle cerrada y vigilancia 24 horas ademas posee area
                    	                    	   de Piscina y Parrillera, Salon de TV y juegos, Salon de Fiesta, Cancha de Tenis, de Futbol, Basket , Bolas Criollas ademas de Gimnasio, 4 Puestos de estacionamiento que comodamente entran 6 carros mas maletero. Cuenta con Puestos de Visitantes. Tiene 2 Ascensores uno privado que llega al Apto y otro en el area de servicio. La cocina es a gas y electrica, en la Cocina encontraras Lavaplato, Nevera, Horno y vinera.",Apartamento,Alquiler,4000,monthly,paralelo,Elizabeth Vargas,,,,"Los Naranjos del Cafetal, Distrito Metropolitano",Los Naranjos del Cafetal,Caracas,Distrito Metropolitano,,10.4411531,-66.8326533,4,5,3632,0,"[""Altura Del Inmueble"",""Tiene Cocina?"",""1 DormServicio"",""Parque Infantil"",""Piscina"",""Terraza Cubierta"",""Vigilancia Privada"",""Cancha De Tenis"",""Estudio"",""Gimnasio"",""Maletero"",""Parrillera"",""Planta Electrica"",""Salon De Fiesta"",""Vista Al Avila"",""Vista Panoramica"",""Cocina"",""Congelador"",""Horno De Pared (Electrico)"",""Horno Microndas"",""Lavaplatos"",""Refrigerador"",""Lavadora"",""Secadora"",""Calentador De Agua"",""#Ascensores""]",https://cdn.resize.sparkplatform.com/ven/1024x768/true/20260815171509339198000000-o.jpg,"[""https://cdn.photos.sparkplatform.com/ven/20260815171509339198000000.jpg"",""https://cdn.photos.sparkplatform.com/ven/20260815171509339198000000-t.jpg"",""https://cdn.photos.sparkplatform.com/ven/20260815171509339198000000.jpg"",""https://cdn.resize.sparkplatform.com/ven/640x480/true/20260815171509339198000000-o.jpg"",""https://cdn.resize.sparkplatform.com/ven/800x600/true/20260815171509339198000000-o.jpg"",""https://cdn.resize.sparkplatform.com/ven/1024x768/true/20260815171509339198000000-o.jpg""]",2026-08-16T15:38:01.696Z
rentahouse,https://rentahouse.com.ve/apartamento_en_alquiler_en_caracas_en_el-encantado_rah-27-2683.html,VE 27-2683,"Apartamento (1 Nivel) en Alquiler en El Encantado, Distrito MetropolitanoSíguenosContactenosRecursos","Llega con tus maletas a este hermoso apto ya listo para ser habitado. Con materiales de primera y línea blanca de buenas marcas, esta esta excelente opción de alquiler en el encantado. Puesto de estacionamiento techado, tanque de agua, termotronic y fresco clima",Apartamento,Alquiler,600,monthly,paralelo,Daniela Mata,,,,"El Encantado, Distrito Metropolitano",El Encantado,Caracas,Distrito Metropolitano,,10.4787916,-66.8952181,2,2,552,0,"[""#Ascensores""]",https://cdn.resize.sparkplatform.com/ven/1024x768/true/20260816002641478367000000-o.jpg,"[""https://cdn.photos.sparkplatform.com/ven/20260816002641478367000000.jpg"",""https://cdn.photos.sparkplatform.com/ven/20260816002641478367000000-t.jpg"",""https://cdn.photos.sparkplatform.com/ven/20260816002641478367000000.jpg"",""https://cdn.resize.sparkplatform.com/ven/640x480/true/20260816002641478367000000-o.jpg"",""https://cdn.resize.sparkplatform.com/ven/800x600/true/20260816002641478367000000-o.jpg"",""https://cdn.resize.sparkplatform.com/ven/1024x768/true/20260816002641478367000000-o.jpg""]",2026-08-16T15:38:01.702Z
rentahouse,https://rentahouse.com.ve/apartamento_en_venta_en_caracas_en_la-florida_rah-27-2682.html,VE 27-2682,"Apartamento (1 Nivel) en Venta en La Florida, Distrito MetropolitanoSíguenosContactenosRecursos","Buscas un Edificio que cuente con todo los beneficios para tu tranquilidad y la de tu familia. Disponible esta opcion en la Florida,Apto de 220 metros , 3 amplias habitaciones mas hab y bano de servicio. Edf de solo 5 pisos, piscina, puestos de visitante, Amplio Maletero. Arquitectura del Reconocido Manuel Fuentes.",Apartamento,Venta,258000,monthly,paralelo,Alexis Acosta,,,,"La Florida, Distrito Metropolitano",La Florida,Caracas,Distrito Metropolitano,,10.4788569,-66.8956271,3,5,2222,0,"[""1 DormServicio"",""Piscina"",""#Ascensores""]",https://cdn.resize.sparkplatform.com/ven/1024x768/true/20260816000536850903000000-o.jpg,"[""https://cdn.photos.sparkplatform.com/ven/20260816000536850903000000.jpg"",""https://cdn.photos.sparkplatform.com/ven/20260816000536850903000000-t.jpg"",""https://cdn.photos.sparkplatform.com/ven/20260816000536850903000000.jpg"",""https://cdn.resize.sparkplatform.com/ven/640x480/true/20260816000536850903000000-o.jpg"",""https://cdn.resize.sparkplatform.com/ven/800x600/true/20260816000536850903000000-o.jpg"",""https://cdn.resize.sparkplatform.com/ven/1024x768/true/20260816000536850903000000-o.jpg""]",2026-08-16T15:38:01.709Z
rentahouse,https://rentahouse.com.ve/apartamento_en_venta_en_guatire_en_canaima-tres_rah-27-2681.html,VE 27-2681,"Apartamento (1 Nivel) en Venta en Canaima Tres, MirandaSíguenosContactenosRecursos",Apto de 89 m² en Planta Baja. Ideal para diseñar a tu gusto. Consta de 3 hab y 2 baños completos. Ventaja de ser PB con cómodo acceso sin escaleras. Cocina para remodelar desde cero. Documentación al día y listo para firmar.,Apartamento,Venta,48500,monthly,paralelo,Yellis Villasmil,,,,"Canaima Tres, Miranda",Canaima Tres,Guatire,Miranda,,10.4652539,-66.5536064,3,2,892,0,"[""#Ascensores""]",https://cdn.resize.sparkplatform.com/ven/1024x768/true/20260815233420856965000000-o.jpg,"[""https://cdn.photos.sparkplatform.com/ven/20260815233420856965000000.jpg"",""https://cdn.photos.sparkplatform.com/ven/20260815233420856965000000-t.jpg"",""https://cdn.photos.sparkplatform.com/ven/20260815233420856965000000.jpg"",""https://cdn.resize.sparkplatform.com/ven/640x480/true/20260815233420856965000000-o.jpg"",""https://cdn.resize.sparkplatform.com/ven/800x600/true/20260815233420856965000000-o.jpg"",""https://cdn.resize.sparkplatform.com/ven/1024x768/true/20260815233420856965000000-o.jpg""]",2026-08-16T15:38:01.715Z
